city,city_ascii,lat,lng,admin_name,population
Delhi,Delhi,28.61,77.23,Delhi,32226000.0
Mumbai,Mumbai,19.0761,72.8775,Mahārāshtra,24973000.0
Kolkāta,Kolkata,22.5675,88.37,West Bengal,21747000.0
Bangalore,Bangalore,12.9789,77.5917,Karnātaka,15386000.0
Chennai,Chennai,13.0825,80.275,Tamil Nādu,12395000.0
Hyderābād,Hyderabad,17.3617,78.4747,Telangāna,10494000.0
Pune,Pune,18.5203,73.8567,Mahārāshtra,8231000.0
Ahmedabad,Ahmedabad,23.0225,72.5714,Gujarāt,8009000.0
Sūrat,Surat,21.205,72.84,Gujarāt,6538000.0
Prayagraj,Prayagraj,25.4358,81.8464,Uttar Pradesh,5954391.0
Belāhi,Belahi,26.4,86.25,Bihār,4487379.0
Nādampālaiyam,Nadampalaiyam,11.0125,76.9714,Tamil Nādu,3458045.0
Lucknow,Lucknow,26.85,80.95,Uttar Pradesh,3382000.0
Kannankulam,Kannankulam,10.52,76.21,Kerala,3243170.0
Jaipur,Jaipur,26.9,75.8,Rājasthān,3073350.0
Kottārasshēri,Kottarassheri,10.775,76.651,Kerala,2952254.0
Attadappa,Attadappa,11.8689,75.3555,Kerala,2615266.0
Barmhān Kalān,Barmhan Kalan,19.1972,72.9722,Madhya Pradesh,2537000.0
Mirzāpur,Mirzapur,25.146,82.569,Uttar Pradesh,2496970.0
Nāgpur,Nagpur,21.1497,79.0806,Mahārāshtra,2405665.0
Ghāziābād,Ghaziabad,28.67,77.42,Uttar Pradesh,2375820.0
Supaul,Supaul,26.126,86.605,Bihār,2229076.0
Vadodara,Vadodara,22.3,73.2,Gujarāt,2065771.0
Rājkot,Rajkot,22.3,70.7833,Gujarāt,2043000.0
Vishākhapatnam,Vishakhapatnam,17.7042,83.2978,Andhra Pradesh,2035922.0
Indore,Indore,22.7167,75.8472,Madhya Pradesh,1994397.0
Abhepur,Abhepur,39.41,116.38,Haryāna,1895686.0
Thāne,Thane,19.1972,72.9722,Mahārāshtra,1886941.0
Bhopāl,Bhopal,23.2599,77.4126,Madhya Pradesh,1798218.0
Āgra,Agra,27.18,78.02,Uttar Pradesh,1760285.0
Peyanvilai,Peyanvilai,8.9,77.9833,Tamil Nādu,1750176.0
Pimpri-Chinchwad,Pimpri-Chinchwad,18.6186,73.8037,Mahārāshtra,1729320.0
Patna,Patna,25.594,85.1376,Bihār,1684222.0
Bilāspur,Bilaspur,22.09,82.15,Chhattīsgarh,1625502.0
Ludhiāna,Ludhiana,30.91,75.85,Punjab,1618879.0
Madurai,Madurai,9.9252,78.1198,Tamil Nādu,1561129.0
Jamshedpur,Jamshedpur,22.7925,86.1842,Jhārkhand,1558000.0
Nāsik,Nasik,19.9975,73.7898,Mahārāshtra,1486053.0
Vijayavāda,Vijayawada,16.5193,80.6305,Andhra Pradesh,1476931.0
Farīdābād,Faridabad,28.4211,77.3078,Haryāna,1404653.0
Najafgarh,Najafgarh,28.6125,76.9847,Delhi,1365152.0
Meerut,Meerut,28.98,77.71,Uttar Pradesh,1305429.0
Jabalpur,Jabalpur,23.1667,79.9333,Madhya Pradesh,1267564.0
Kalyān,Kalyan,19.24,73.13,Mahārāshtra,1246381.0
Vasai-Virar,Vasai-Virar,19.47,72.8,Mahārāshtra,1221233.0
Pānīpat,Panipat,29.3875,76.97,Haryāna,1202811.0
Vārānasi,Varanasi,25.3189,83.0128,Uttar Pradesh,1198491.0
Kalleli,Kalleli,9.2807,76.8697,Kerala,1197412.0
Srīnagar,Srinagar,34.09,74.79,Jammu and Kashmīr,1180570.0
Aurangābād,Aurangabad,19.88,75.32,Mahārāshtra,1175116.0
Dhanbād,Dhanbad,23.7998,86.4305,Jhārkhand,1162472.0
Amritsar,Amritsar,31.64,74.86,Punjab,1132383.0
Alīgarh,Aligarh,27.88,78.08,Uttar Pradesh,1131160.0
Guwāhāti,Guwahati,26.1722,91.7458,Assam,1116267.0
Hāora,Haora,22.58,88.3294,West Bengal,1077075.0
Rānchi,Ranchi,23.36,85.33,Jhārkhand,1073440.0
Gwalior,Gwalior,26.2125,78.1775,Madhya Pradesh,1069276.0
Chandīgarh,Chandigarh,30.75,76.78,,1055450.0
Jodhpur,Jodhpur,26.28,73.02,Rājasthān,1033918.0
Raipur,Raipur,21.2444,81.6306,Chhattīsgarh,1010087.0
